Mobile Name,Width,Height,DPR
Alcatel One Touch Idol Ultra,360.0,316.0,2.0
Alcatel One Touch Ultra 995,320.0,217.0,1.5
Amazon Kindle Fire,600.0,1024.0,1.0
Amazon Kindle Fire HD 7,533.0,853.0,1.5
Amazon Kindle Fire HD 8.9,800.0,1280.0,1.5
Apple iPhone 11,414.0,896.0,2.0
Apple iPhone 11 Pro,375.0,812.0,3.0
Apple iPhone 11 Pro Max,375.0,812.0,3.0
Apple iPhone 12,428.0,926.0,3.0
Apple iPhone 12 Mini,360.0,780.0,3.0
Apple iPhone 12 Pro,390.0,844.0,3.0
Apple iPhone 12 Pro Max,428.0,926.0,3.0
Apple iPhone 3,320.0,480.0,1.0
"Apple iPhone 4, 4S",320.0,480.0,2.0
"Apple iPhone 5, 5C, 5S",320.0,568.0,2.0
Apple iPhone 6,375.0,667.0,2.0
Apple iPhone 6 Plus,414.0,736.0,3.0
Apple iPhone 6S,375.0,667.0,2.0
Apple iPhone 7,375.0,667.0,2.0
Apple iPhone 7 Plus,414.0,736.0,3.0
Apple iPhone 8,375.0,667.0,2.0
Apple iPhone 8 Plus,414.0,736.0,3.0
Apple iPhone SE,320.0,568.0,2.0
Apple iPhone SE 2020,375.0,667.0,2.0
Apple iPhone X,375.0,812.0,3.0
Apple iPhone XR,414.0,896.0,3.0
Apple iPhone XS,375.0,812.0,3.0
Apple iPhone XS Max,414.0,896.0,3.0
Apple iPad 1,768.0,1024.0,1.0
"Apple iPad 2, 3, 4, Air, Air2",768.0,1024.0,2.0
Apple iPad mini,768.0,1024.0,1.0
"Apple iPad mini 2, 3, 4",768.0,1024.0,2.0
Apple iPad Pro,1024.0,1366.0,2.0
Apple iPad Pro 9.7,768.0,1024.0,2.0
Apple iPod Touch,320.0,568.0,2.0
Asus Zenfone Max,267.0,1280.0,1.0
Asus Zenfone 5,267.0,1280.0,1.0
Asus Nexus 7 (v1),604.0,966.0,1.3
Asus Nexus 7 (v2),600.0,960.0,2.0
BlackBerry Classic Non Camera,291.0,1280.0,1.0
BlackBerry Leap,294.0,1280.0,1.0
BlackBerry Passport,453.0,1440.0,1.0
BlackBerry Porsche Design P9982,328.0,1280.0,1.0
BlackBerry Priv,575.0,1024.0,2.5
BlackBerry Q10,360.0,360.0,2.0
BlackBerry Torch 9810,320.0,480.0,1.0
BlackBerry Z10,356.0,384.0,2.0
BlackBerry Z3,220.0,960.0,1.0
Blackberry Classic,390.0,390.0,1.8
Blackberry Playbook,600.0,1024.0,1.0
Blackberry Torch 9800,360.0,480.0,1.0
Google Pixel,360.0,640.0,2.6
Google Pixel XL,411.0,731.0,3.5
Google Glass,240.0,427.0,1.5
Google Pixel C,900.0,1280.0,2.0
Google Pixel 2XL,412.0,732.0,3.5
Google Pixel 3,412.0,824.0,2.6
Google Pixel 3A,393.0,808.0,2.75
Google Pixel 3XL,412.0,847.0,3.5
Google Pixel 3A XL,412.0,823.0,2.6
Google Pixel 4,393.0,830.0,2.75
Google Pixel 4 XL,412.0,869.0,3.5
Google Pixel 4A,393.0,851.0,2.75
Google Pixel 5,393.0,851.0,2.75
HTC Desire,320.0,252.0,1.5
HTC Desire HD,320.0,217.0,1.5
HTC Evo,320.0,217.0,1.5
HTC One,360.0,468.0,3.0
HTC One M8,1080.0,441.0,1.0
HTC One M9,1080.0,441.0,1.0
HTC 8X,320.0,480.0,3.0
HTC Evo 3D,360.0,640.0,1.5
HTC Nexus 9,768.0,1024.0,2.0
HTC One,360.0,640.0,3.0
Huawei Nexus 6p,412.0,736.0,3.5
Huawei Nova 7i,360.0,720.0,3.0
Huawei P8,360.0,640.0,3.0
Huawei Mate20,360.0,780.0,4.0
Huawei P10 Plus,360.0,640.0,4.0
Huawei P40,360.0,780.0,4.0
Huawei P40 Lite,360.0,780.0,2.0
Huawei P40 Pro,300.0,660.0,4.0
Huawei P40 Pro Plus,300.0,660.0,4.0
Huawei Mate40,270.0,780.0,4.0
LG GX F310L,1080.0,401.0,1.0
LG Nexus 4,384.0,320.0,2.0
LG Nexus 4 AR,768.0,318.0,1.0
LG Nexus 5X,1080.0,424.0,1.0
LG Phoenix 2,720.0,294.0,1.0
LG V10,360.0,853.0,3.0
LG G Pad 8.3,600.0,960.0,2.0
LG G3,360.0,640.0,4.0
LG G4,360.0,640.0,4.0
LG G5,360.0,640.0,4.0
LG G6,360.0,720.0,4.0
LG Nexus 4,384.0,640.0,2.0
LG Nexus 5,360.0,640.0,3.0
LG Optimus G,384.0,640.0,2.0
Microsoft Lumia 950,1440.0,564.0,1.0
Microsoft Lumia 1020,320.0,480.0,2.4
Microsoft Lumia 1520,432.0,768.0,2.5
Microsoft Lumia 620,320.0,480.0,1.5
Microsoft Lumia 830,320.0,480.0,2.0
Microsoft Lumia 900,320.0,480.0,1.5
Microsoft Lumia 920,320.0,480.0,2.4
Microsoft Lumia 925,320.0,480.0,2.4
Microsoft Surface,768.0,1366.0,1.0
Microsoft Surface Pro,720.0,1280.0,1.5
Microsoft Surface Pro 2,720.0,1280.0,1.5
Microsoft Surface Pro 3,1024.0,1440.0,1.5
Motorola Droid,320.0,265.0,1.5
Motorola Droid 3 & 4,360.0,280.0,1.5
Motorola Droid Razr,360.0,256.0,1.5
Motorola Droid Razr Maxx,360.0,256.0,1.5
Motorola Droid Turbo,1440.0,565.0,1.0
Motorola Moto E,540.0,256.0,1.0
Motorola Moto G,720.0,294.0,1.0
Motorola Moto G4 Plus,1920.0,401.0,1.0
Motorola Moto X Style,1440.0,520.0,1.0
Motorola Moto Z,2560.0,535.0,1.0
Motorola Nexus 6,1440.0,493.0,1.0
Motorola Nexus 6,412.0,690.0,3.5
"Nokia Lumia (710, 800)",320.0,252.0,1.5
Nokia Lumia 1020,384.0,332.0,2.0
Nokia Lumia 520,320.0,233.0,1.5
Nokia Lumia 620,320.0,246.0,1.5
Nokia Lumia 720,320.0,217.0,1.5
Nokia Lumia 920,384.0,332.0,2.0
Nokia Lumia 925,384.0,332.0,2.0
Samsung A5,720.0,294.0,1.0
Samsung Galaxy A30,1080.0,403.0,1.0
Samsung Galaxy A50,1080.0,403.0,1.0
Samsung Galaxy A50s,1080.0,403.0,1.0
Samsung Galaxy A51,1080.0,405.0,1.0
Samsung Galaxy A70s,1080.0,403.0,1.0
Samsung Galaxy A71,1080.0,393.0,1.0
Samsung Galaxy J7,720.0,267.0,1.0
Samsung Galaxy J7 Prime,1080.0,401.0,1.0
Samsung Galaxy J7 Prime2,1080.0,401.0,1.0
Samsung Galaxy Nexus,360.0,316.0,2.0
Samsung Galaxy Note,400.0,285.0,2.0
Samsung Galaxy Note 10,360.0,718.0,4.0
Samsung Galaxy Note 10 Plus,412.0,869.0,2.6
Samsung Galaxy Note 10+,360.0,718.0,4.0
Samsung Galaxy Note 20,412.0,915.0,2.6
Samsung Galaxy Note 20 Ultra,412.0,833.0,3.5
Samsung Galaxy Note 9,360.0,740.0,4.0
Samsung Galaxy Note II,360.0,267.0,2.0
Samsung Galaxy Note10,1080.0,401.0,1.0
Samsung Galaxy Note10+,1440.0,498.0,1.0
Samsung Galaxy Note20,1080.0,393.0,1.0
Samsung Galaxy Note20 Ultra,1440.0,496.0,1.0
Samsung Galaxy Note4,1440.0,515.0,1.0
Samsung Galaxy Note5,1440.0,518.0,1.0
Samsung Galaxy S,320.0,233.0,1.5
Samsung Galaxy S Plus,320.0,233.0,1.5
Samsung Galaxy S10,360.0,740.0,4.0
Samsung Galaxy S10,360.0,760.0,4.0
Samsung Galaxy S10 Lite,1080.0,394.0,1.0
Samsung Galaxy S10 Plus,360.0,760.0,4.0
Samsung Galaxy S10+,360.0,740.0,4.0
Samsung Galaxy S20,360.0,800.0,4.0
Samsung Galaxy S20 FE,412.0,914.0,2.6
Samsung Galaxy S20 Plus,384.0,854.0,4.0
Samsung Galaxy S20 Ultra,412.0,915.0,3.5
Samsung Galaxy S20 Ultra,1440.0,511.0,1.0
Samsung Galaxy S20+,1440.0,525.0,1.0
Samsung Galaxy S5,1080.0,432.0,1.0
Samsung Galaxy S6,1440.0,577.0,1.0
Samsung Galaxy S6 Edge+,1440.0,518.0,1.0
Samsung Galaxy S7,1440.0,577.0,1.0
Samsung Galaxy S7 Edge,1440.0,534.0,1.0
Samsung Galaxy S8,2960.0,570.0,1.0
Samsung Galaxy S8+,2960.0,529.0,1.0
Samsung Galaxy S9,360.0,740.0,4.0
Samsung Galaxy S9 Plus,360.0,740.0,4.0
Samsung Galaxy SII,320.0,219.0,1.5
Samsung Galaxy SIII,360.0,306.0,2.0
Samsung Galaxy SIV,360.0,441.0,3.0
Samsung Galaxy SV,1080.0,432.0,1.0
Samsung Galaxy Z Fold 2,884.0,1104.0,2.0
Samsung Nexus S,320.0,235.0,1.5
Samsung Z3,720.0,294.0,1.0
Samsung Galaxy Nexus,360.0,600.0,2.0
Samsung Galaxy Note,400.0,640.0,2.0
Samsung Galaxy Note 2,360.0,640.0,2.0
Samsung Galaxy Note 3,360.0,640.0,3.0
Samsung Galaxy Note 4,360.0,640.0,4.0
Samsung Galaxy Note 8,360.0,740.0,4.0
Samsung Galaxy S,320.0,533.0,1.5
Samsung Galaxy S2,320.0,533.0,1.5
Samsung Galaxy S3,360.0,640.0,2.0
Samsung Galaxy S3 mini,320.0,533.0,1.5
Samsung Galaxy S4,360.0,640.0,3.0
Samsung Galaxy S4 mini,360.0,640.0,1.5
Samsung Galaxy S5,360.0,640.0,3.0
Samsung Galaxy S6,360.0,640.0,4.0
"Samsung Galaxy S7, S7 edge",360.0,640.0,4.0
Samsung Galaxy S8,360.0,740.0,4.0
Samsung Galaxy S8+,360.0,740.0,4.0
"Samsung Galaxy Tab (8.9"")",800.0,1280.0,1.0
"Samsung Galaxy Tab 2 (7"")",600.0,1024.0,1.0
"Samsung Galaxy Tab 2 10""",800.0,1280.0,1.0
"Samsung Galaxy Tab 3 10""",800.0,1280.0,1.0
Samsung Nexus 10,800.0,1280.0,2.0
Sony Xperia C4 Dual,1920.0,401.0,1.0
Sony Xperia E4 Dual,960.0,220.0,1.0
Sony Xperia M4,720.0,294.0,1.0
Sony Xperia T2 Ultra Dual,1280.0,245.0,1.0
Sony Xperia X,1920.0,441.0,1.0
Sony Xperia Z,360.0,441.0,3.0
Sony Xperia Z1,1920.0,441.0,1.0
Sony Xperia Z3,1080.0,424.0,1.0
Sony Xperia Z3 Plus,1920.0,424.0,1.0
Sony Xperia Z5,1080.0,424.0,1.0
Sony Xperia P,360.0,640.0,1.5
Sony Xperia S,360.0,640.0,2.0
Sony Xperia Z,360.0,640.0,3.0
Sony Xperia Z3,360.0,640.0,3.0
Sony Xperia A2,360.0,640.0,3.0
Xiaomi Mi 4i,1080.0,441.0,1.0
Xiaomi Mi Note,1080.0,386.0,1.0
Xiaomi Redmi Note 3,1920.0,403.0,1.0
Xiaomi Redmi Note 7,1080.0,409.0,1.0
Xiaomi Redmi Note 8,1080.0,409.0,1.0
Xiaomi Redmi Note 8 Pro,1080.0,395.0,1.0
Xiaomi Redmi Note 9,1080.0,395.0,1.0
Xiaomi Redmi Note 9 Pro,1080.0,395.0,1.0
Xiaomi Mi 3,360.0,640.0,3.0
Xiaomi Mi 4,360.0,640.0,3.0
Xiaomi Redmi Note 5,393.0,786.0,2.75
Panasonic Eluga Arc,1280.0,312.0,1.0
Panasonic Eluga I3,1280.0,267.0,1.0
Panasonic T44,800.0,233.0,1.0
Panasonic T50,854.0,218.0,1.0
Panasonic Toughpad FZ-F1,1280.0,312.0,1.0
OnePlus 2,1080.0,401.0,1.0
OnePlus One,1080.0,401.0,1.0
OnePlus X,1080.0,441.0,1.0
VIVO Y51L,540.0,220.0,1.0
ZTE Grand S,360.0,640.0,3.0
ZTE Open (Firefox OS),320.0,480.0,1.5
Infocus M812i,1080.0,400.0,1.0
Lenovo K3 Note,1920.0,401.0,1.0
Lenovo Vibe K4 Note,1920.0,401.0,1.0
Lenovo K900,360.0,640.0,3.0
Oppo A37,1920.0,294.0,1.0
Oppo A53,1280.0,267.0,1.0
Oppo A59,1280.0,267.0,1.0
Oppo F1,1280.0,294.0,1.0
Oppo F1 Plus,1920.0,401.0,1.0
Oppo R9,1920.0,401.0,1.0
Oppo R9 Plus,1920.0,367.0,1.0
Pantech Vega no.6,360.0,640.0,3.0
Philips Sapphire Life V787,1920.0,441.0,1.0
Philips Sapphire S616,1920.0,401.0,1.0
